,Designation,Usage,W,(px),H,Aspect ratio,Aspect ratio,Aspect ratio,Total pixels
,Designation,Usage,W,(px),H,Storage,Display,Pixel,Total pixels
0,0.26K1,Microvision,16,×,16,1∶1,1∶1,1∶1,256
1,0.46K1,Timex Datalink USB[1][2],42,×,11,42∶11,1∶1,5:9,462
2,1.02K1,PocketStation,32,×,32,1∶1,1∶1,1∶1,1024
3,1.2K3,Etch A Sketch Animator,40,×,30,4∶3,4∶3,1∶1,1200
4,1.34K1,Epson RC-20[3],42,×,32,42∶32,1∶1,0.762,1344
5,1.54K2,"GameKing I (GM-218), VMU",48,×,32,3∶2,3∶2,1∶1,1536
6,2.4K2,Etch A Sketch Animator 2000,60,×,40,3∶2,3∶2,1∶1,2400
7,4.03K7∶4,Nokia 3210 and many other early Nokia Phones,84,×,48,7∶4,2∶1,1.143,4032
8,4.1K1,Hartung Game Master,64,×,64,1∶1,1∶1,1∶1,4096
9,4.61K1,Field Technology CxMP smart watch[2],72,×,64,72∶64,1∶1,0.889,4608
10,4.61K1,Montblanc e-Strap[4],128,×,36,128∶36,1∶1,0.281,4608
11,4.8K1,Epoch Game Pocket Computer,75,×,64,75∶64,1∶1,1:1.171875,4800
12,0.01M3.75,Entex Adventure Vision,150,×,40,150∶40,3.75,1∶1,6000
13,0.01M2,"First graphing calculators: Casio fx-7000G, TI-81",96,×,64,3∶2,3∶2,1∶1,6144
14,0.01M2,Pokémon Mini,96,×,64,3∶2,3∶2,1∶1,6144
15,0.01M2,TRS-80,128,×,48,128∶48,3∶2,0.563,6144
16,0.01M2,Early Nokia colour screen phones,96,×,65,96∶65,3∶2,1.016,6240
17,0.01MA,Ruputer,102,×,64,102∶64,8∶5,1.004,6528
18,0.01M4,"Sony Ericsson T68i, T300, T310 and other early colour screen phones",101,×,80,101∶80,5∶4,0.99,8080
19,0.01M1,MetaWatch Strata & Frame watches,96,×,96,1∶1,1∶1,1∶1,9216
20,0.02M3.75,"Atari Portfolio, TRS-80 Model 100",240,×,64,240∶64,3.75,1∶1,15360
21,0.02MA,Atari Lynx,160,×,102,160∶102,8∶5,1.02,16320
22,0.02M1,"Sony SmartWatch, Sifteo cubes, early color screen phones (square display)",128,×,128,1∶1,1∶1,1∶1,16384
23,QQVGA,Quarter Quarter VGA:,160,×,120,4∶3,4∶3,1∶1,19200
24,0.02M1.111,"Nintendo Game Boy (GB), Game Boy Color (GBC); Sega Game Gear (GG)",160,×,144,160∶144,10:9,1∶1,23040
25,0.02M0.857,Pebble E-Paper Watch,144,×,168,144∶168,6:7,1∶1,24192
26,0.02M1.053,Neo Geo Pocket Color,160,×,152,160∶152,20:19,1∶1,24320
27,0.03M1,Palm LoRes,160,×,160,1∶1,1∶1,1∶1,25600
28,0.03M3,"Apple II HiRes (6 color) and Apple IIe Double HiRes (16 color), grouping subpixels",140,×,192,140∶192,4∶3,1.828,26880
29,0.03M3,"VIC-II multicolor, IBM PCjr 16-color, Amstrad CPC",160,×,200,160∶200,4∶3,5∶3,32000
30,0.03M9,WonderSwan,224,×,144,14∶9,14∶9,1∶1,32256
31,0.04M13∶11,"Nokia Series 60 smartphones (Nokia 7650, plus First and Second Edition models only)",208,×,176,13∶11,13∶11,1∶1,36608
32,HQVGA,Half QVGA:Nintendo Game Boy Advance,240,×,160,3∶2,3∶2,1∶1,38400
33,0.04M4,Older Java MIDP devices like Sony Ericsson K600,220,×,176,5∶4,5∶4,1∶1,38720
34,0.04M3,Acorn BBC 20 column modes,160,×,256,160∶256,4∶3,2.133,40960
35,0.04M1,"Nokia 5500 Sport, Nokia 6230i, Nokia 8800",208,×,208,1∶1,1∶1,1∶1,43264
36,0.05M3,"TMS9918 modes 1 (e.g. TI-99/4a) and 2, ZX Spectrum, MSX, Nintendo DS (each screen)",256,×,192,4∶3,4∶3,1∶1,49152
37,0.1M3,"Timex Sinclair 2068, Timex Computer 2048,",512,×,192,512∶192,4∶3,0.5,98304
38,0.05M3,Apple II HiRes (1 bit per pixel),280,×,192,280∶192,4∶3,0.914,53760
39,0.05M3,MSX2,256,×,212,256∶212,4∶3,1.104,54272
40,0.06M1,Samsung Gear Fit,432,×,128,432∶128,1∶1,0.296,55296
41,0.06M3,"Nintendo Entertainment System, Super Nintendo Entertainment System",256,×,224,256∶224,4∶3,7∶6,57344
42,0.06M1,Apple iPod Nano 6G,240,×,240,1∶1,1∶1,1∶1,57600
43,0.06M6,Atari 400/800 PAL,320,×,192,5∶3,5∶3,1∶1,61440
44,Color Graphics Adapter (CGA),"CGA 4-color, ATM 16 color, Atari ST 16 color, Commodore 64 VIC-II Hires, Amiga OCS NTSC Lowres, Apple IIGS LoRes, MCGA",320,×,200,8∶5,4∶3,0.833,64000
